	name	slug	salary_from	salary_to
0	Младший аналитик данных (Junior data analyst)	https://spb.hh.ru/vacancy/48123309?from=vacancy_search_list&query=Junior%20python%20developer	90000 руб.	з/п не указана
1	Junior Developer / Младший программист	https://spb.hh.ru/vacancy/48443074?from=vacancy_search_list&query=Junior%20python%20developer	60000 руб.	100000 руб.
2	Junior python developer	https://spb.hh.ru/vacancy/48187943?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
3	Python developer	https://spb.hh.ru/vacancy/47915680?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
4	Data Engineer (junior)	https://spb.hh.ru/vacancy/47712132?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
5	Middle Python Developer	https://spb.hh.ru/vacancy/46215117?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
6	Senior Python Developer	https://spb.hh.ru/vacancy/47973163?from=vacancy_search_list&query=Junior%20python%20developer	4000 USD	5000 USD
7	Junior Data Scientist	https://spb.hh.ru/vacancy/47666361?from=vacancy_search_list&query=Junior%20python%20developer	40000 руб.	60000 руб.
8	Junior Python developer	https://spb.hh.ru/vacancy/48376658?from=vacancy_search_list&query=Junior%20python%20developer	40000 руб.	80000 руб.
9	Backend разработчик python	https://spb.hh.ru/vacancy/40538840?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
10	Младший программист / Junior Developer in QA	https://spb.hh.ru/vacancy/42015411?from=vacancy_search_list&query=Junior%20python%20developer	70000 руб.	110000 руб.
11	Python QA Automation Engineer / SDET в AI-стартап (удаленно)	https://spb.hh.ru/vacancy/47809755?from=vacancy_search_list&query=Junior%20python%20developer	180000 руб.	250000 руб.
12	Младший Python разработчик / Junior Python Developer (Back-end)	https://spb.hh.ru/vacancy/46797297?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
13	Junior Python разработчик	https://spb.hh.ru/vacancy/48197992?from=vacancy_search_list&query=Junior%20python%20developer	60000 руб.	з/п не указана
14	Python Junior/Middle Backend Developer	https://spb.hh.ru/vacancy/47934049?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	90000 руб.
15	Разработчик Python (Junior)	https://spb.hh.ru/vacancy/45588879?from=vacancy_search_list&query=Junior%20python%20developer	з/п не указана	з/п не указана
16	Junior/Middle Python программист	https://spb.hh.ru/vacancy/48099243?from=vacancy_search_list&query=Junior%20python%20developer	60000 руб.	з/п не указана
17	Младший инженер / Junior QA Automation Engineer (Powershell, Python)	https://spb.hh.ru/vacancy/44868124?from=vacancy_search_list&query=Junior%20python%20developer	70000 руб.	110000 руб.
